,#,When,Who,Problem,Lang,Verdict,Time,Memory
209,56972566,Jul/13/2019 13:54,friedrich_hayek,B - Anton and Digits,GNU C11,Accepted,31 ms,0 KB
210,56945894,Jul/13/2019 01:11,friedrich_hayek,A - Memory and Crow,GNU C11,Accepted,451 ms,800 KB
211,56945591,Jul/13/2019 00:52,friedrich_hayek,A - Perfect Permutation,GNU C11,Accepted,62 ms,0 KB
212,56706644,Jul/08/2019 14:18,friedrich_hayek,A - Cookies,GNU C11,Accepted,62 ms,0 KB
213,56705953,Jul/08/2019 14:05,friedrich_hayek,A - New Year and the Christmas Ornament,GNU C11,Accepted,31 ms,0 KB
214,56686628,Jul/08/2019 02:30,friedrich_hayek,A - Arrays,GNU C11,Accepted,61 ms,1600 KB
215,56686511,Jul/08/2019 02:20,friedrich_hayek,A - Keanu Reeves,GNU C11,Accepted,31 ms,0 KB
216,56672095,Jul/07/2019 16:35,friedrich_hayek,A - Series of Crimes,GNU C11,Accepted,62 ms,0 KB
217,56638945,Jul/07/2019 01:42,friedrich_hayek,A - Water Buying,GNU C11,Accepted,31 ms,0 KB
218,56638339,Jul/07/2019 00:58,friedrich_hayek,A - Buy a Shovel,GNU C11,Accepted,31 ms,0 KB
219,56594697,Jul/05/2019 21:49,friedrich_hayek,A - Bank Robbery,GNU C11,Accepted,46 ms,0 KB
220,56594231,Jul/05/2019 21:36,friedrich_hayek,A - Arpa and a research in Mexican wave,GNU C11,Accepted,31 ms,0 KB
221,56593894,Jul/05/2019 21:27,friedrich_hayek,A - Definite Game,GNU C11,Accepted,31 ms,0 KB
222,56593787,Jul/05/2019 21:25,friedrich_hayek,A - Definite Game,GNU C11,Wrong answer on test 6,15 ms,0 KB
223,56593511,Jul/05/2019 21:18,friedrich_hayek,A - Alex and a Rhombus,GNU C11,Accepted,31 ms,0 KB
224,56534648,Jul/05/2019 02:00,friedrich_hayek,A - Andryusha and Socks,GNU C11,Wrong answer on test 4,31 ms,800 KB
225,56534624,Jul/05/2019 01:58,friedrich_hayek,A - Andryusha and Socks,GNU C11,Wrong answer on test 4,46 ms,400 KB
